day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
55,229.65320348474634,115.02417313054505,0.0,229.0,58.0,0.0,0.25088250573235527,0.05938498843357215,0.0
56,230.70178321406473,116.93696842247775,0.0,178.0,73.0,0.0,0.2523494228821498,0.06017768104028729,0.0
57,232.6947149623373,118.31506918801807,0.0,132.0,76.0,0.0,0.2548535424834514,0.060608911879043215,0.0
58,233.8553380687996,120.57812274502825,0.0,186.0,79.0,0.0,0.2564504895054345,0.06146257202206108,0.0
59,235.0552732997339,121.59984473876962,0.0,186.0,72.0,0.0,0.25809383657792795,0.06128875894680218,0.0
60,236.54069952795143,123.81756516581143,0.0,173.0,57.0,0.0,0.26005439869096564,0.06227957295819429,0.0
61,236.45671345687725,125.834435485274,0.0,230.0,52.0,0.0,0.26029149199207224,0.06312968053744161,0.0
62,236.61839219963662,127.13094435167179,0.0,229.0,68.0,0.0,0.26079912221765733,0.06349113360220199,0.0
63,237.02549983329055,129.1865776311093,0.0,259.0,53.0,0.0,0.261578055781381,0.06436672056250933,0.0
64,236.77598032031347,131.20136271352595,0.0,249.0,52.0,0.0,0.26163256519767136,0.06521491758331374,0.0
65,236.8405689776073,133.45514516292445,0.0,223.0,62.0,0.0,0.2620339009241648,0.06621755060150708,0.0
66,236.5895242723475,135.66795709421325,0.0,260.0,68.0,0.0,0.2620857697135074,0.06718806871122868,0.0
67,236.60382563920848,136.86048524205958,0.0,241.0,69.0,0.0,0.2624312508765457,0.06747185215362936,0.0
68,236.36115474541432,137.80621465599103,0.0,245.0,76.0,0.0,0.2624913917067624,0.0676039194019122,0.0
69,236.10969639065883,138.85666815077775,0.0,223.0,62.0,0.0,0.2625410860915096,0.06771564209210007,0.0
70,235.86477387628096,140.2209205767394,0.0,235.0,53.0,0.0,0.26259735732222245,0.0681800064707915,0.0
71,235.92244835605374,141.3177382023661,0.0,225.0,54.0,0.0,0.2629902615040295,0.06839597507076055,0.0
72,235.7068276801797,143.7681519367132,0.0,235.0,63.0,0.0,0.26307829573762287,0.0695862656528703,0.0
73,235.5505100907519,144.7385085495268,0.0,241.0,62.0,0.0,0.26323200235021926,0.06964338718641822,0.0
74,235.60987301402992,146.0351649015619,0.0,253.0,53.0,0.0,0.26362660171302854,0.07001031463157373,0.0
75,235.3573670994549,147.9599580622895,0.0,253.0,66.0,0.0,0.2636719792585548,0.07069071024010928,0.0
76,235.59618562294617,150.00836251296306,0.0,221.0,53.0,0.0,0.26426777175579186,0.07159554932648728,0.0
77,235.3784734620589,151.75816377376435,0.0,210.0,91.0,0.0,0.2643515050135399,0.0719908323947272,0.0
78,235.13525333379766,153.5265292058482,0.0,249.0,59.0,0.0,0.26440594921512667,0.07271564899726601,0.0
79,234.88979070907627,155.06295615449216,0.0,240.0,71.0,0.0,0.2644571918169848,0.07330278108576092,0.0
80,235.1514563029928,156.59230717731734,0.0,219.0,64.0,0.0,0.2650794222893411,0.0738922204180533,0.0
81,234.8987072643523,158.5921013115047,0.0,260.0,59.0,0.0,0.26512178138753,0.07480046040721552,0.0
82,234.84261239339298,160.4764685963322,0.0,239.0,49.0,0.0,0.26538566763101057,0.07563271517248765,0.0
83,234.9298430418487,161.41991163216164,0.0,228.0,67.0,0.0,0.26581156425159935,0.07569674911685374,0.0
84,234.67528359554706,163.39672265728237,0.0,262.0,68.0,0.0,0.2658505099638847,0.07652230821259405,0.0
85,234.42739404108988,164.3999391649614,0.0,230.0,54.0,0.0,0.2658963124832661,0.07678349232093662,0.0
86,234.5560497680131,165.22300934746602,0.0,250.0,45.0,0.0,0.26636904151852187,0.0769298174954062,0.0
87,234.30994542544005,167.10084010601457,0.0,271.0,65.0,0.0,0.26641601879839316,0.07765311241920027,0.0
88,234.0626906153206,168.51488456366383,0.0,247.0,57.0,0.0,0.26646100148611607,0.07821360686687609,0.0
89,233.89395492575096,169.3307689377133,0.0,245.0,48.0,0.0,0.26659479300553846,0.07818711679619836,0.0
90,233.55992566787714,170.73418945915256,3.999065892393965,239.0,67.0,124.0,0.2665394815812614,0.07874164072289783,0.002015188687116173
91,233.77391577284482,171.3887182243645,8.412423488130457,245.0,55.0,134.0,0.2671094056087434,0.07880456812139087,0.004239145115551599
92,233.42564606161494,172.37457408244546,11.252917860987445,226.0,70.0,137.0,0.26703670699621274,0.07887532471472322,0.005670512409820388
93,233.03728097934584,173.9516871860178,13.529984951990304,236.0,75.0,134.0,0.2669171142086786,0.07938210130996692,0.006817960330176247
94,232.61403679763896,176.0031167283061,15.974204235145116,224.0,70.0,127.0,0.26675644154641104,0.08021264836983985,0.008049638722276002
95,232.25529581745067,176.52292820740735,18.764675667956233,245.0,45.0,120.0,0.2666686510260552,0.08018852089878781,0.00945579871424241
