day,FTM_share,LB_share,OPP_share,FTM_conv,LB_conv,OPP_conv,FTM_churn,LB_churn,OPP_churn
36,187.75979049104023,76.56464837972733,0.0,170.0,60.0,0.0,0.1256819330620123,0.04293230732692013,0.0
37,190.35795669593966,78.35876706494315,0.0,142.0,68.0,0.0,0.1277390551993905,0.043719152622017046,0.0
38,192.73121497429804,79.86284771585494,0.0,177.0,60.0,0.0,0.12965355892249572,0.044306445862390374,0.0
39,195.96122336272623,81.73824968153622,0.0,144.0,66.0,0.0,0.13215377373396336,0.04513857485927802,0.0
40,200.1104840088062,83.55070611061355,0.0,163.0,75.0,0.0,0.13528624809310483,0.04592194930104719,0.0
41,203.0317830319879,86.10351118006975,0.0,212.0,85.0,0.0,0.13760036127739284,0.04719493054379509,0.0
42,204.93255214343577,87.9142596222061,0.0,121.0,59.0,0.0,0.13923088855212506,0.04796123528300569,0.0
43,207.32052826176005,90.15173924774483,0.0,225.0,75.0,0.0,0.14119958872615274,0.04900686094776195,0.0
44,209.6655280489785,92.20992291962507,0.0,193.0,78.0,0.0,0.14314692628377276,0.04992443622786322,0.0
45,212.4697390947402,93.86206292819118,0.0,191.0,76.0,0.0,0.14541638804438456,0.05056269413659524,0.0
46,214.91246067889512,95.69075040927567,0.0,207.0,47.0,0.0,0.14744720869007005,0.051312518915510724,0.0
47,217.03993042736482,97.43874923340186,0.0,184.0,45.0,0.0,0.14926937668716103,0.05200117587380038,0.0
48,219.17009385061618,99.47759680792717,0.0,176.0,69.0,0.0,0.15110051061792773,0.05276532870051478,0.0
49,222.00841733223496,101.31119818333411,0.0,195.0,87.0,0.0,0.15342816595196174,0.053495398786605156,0.0
50,224.27029437085804,104.21624395736697,0.0,200.0,74.0,0.0,0.155365964859136,0.054954225967131634,0.0
51,226.3009085171592,106.24041408533517,0.0,201.0,52.0,0.0,0.15715072529120072,0.05582987203181451,0.0
52,228.56491610644508,108.24371992805534,0.0,162.0,65.0,0.0,0.1591047370279366,0.056694157279810295,0.0
53,231.3443510384796,109.81126460196302,0.0,197.0,71.0,0.0,0.16142596552935345,0.05712838624926099,0.0
54,233.79431508340025,111.04410867385084,0.0,127.0,80.0,0.0,0.16352603485832384,0.057478508757339744,0.0
55,234.92238414149972,112.61682372531294,0.0,219.0,68.0,0.0,0.16470749099890847,0.05806088576545669,0.0
56,235.4829642366372,114.34186742333364,0.0,224.0,66.0,0.0,0.16549389457752017,0.05874008576307112,0.0
57,236.91094623829537,115.6103230970794,0.0,202.0,59.0,0.0,0.16689321840457388,0.059111893821815184,0.0
58,238.27488140316234,117.63226540375905,0.0,207.0,61.0,0.0,0.16825208930912333,0.05999317719129949,0.0
59,239.03909709140683,119.86302003154177,0.0,210.0,74.0,0.0,0.16919103911642955,0.060858275443084996,0.0
60,239.5120587646415,122.52707959488731,0.0,229.0,73.0,0.0,0.28334386275376167,0.055940436654491235,0.0
61,239.245073859515,124.15060297682818,0.0,218.0,63.0,0.0,0.28369475634222124,0.05647661805911609,0.0
62,238.9733158198669,126.25330621075348,0.0,245.0,65.0,0.0,0.2840384923054301,0.05729676607468608,0.0
63,238.70773382277616,129.19468240019745,0.0,241.0,84.0,0.0,0.28438807519264553,0.05862381055605032,0.0
64,238.43252452473314,131.81492674976235,0.0,244.0,67.0,0.0,0.2847246850322003,0.05975565043509267,0.0
65,238.1581856809102,134.43404602399798,0.0,248.0,69.0,0.0,0.2850608064926595,0.06088072576435749,0.0
66,237.88235192961542,135.70460854856012,0.0,229.0,72.0,0.0,0.2853936090533111,0.061050378663668865,0.0
67,237.62339377615825,136.66356803313033,0.0,236.0,67.0,0.0,0.2857451709704428,0.06104051542982278,0.0
68,237.4949237403965,137.63027315851025,0.0,216.0,71.0,0.0,0.2862525704665099,0.0610368101039439,0.0
